#chrom	chromStart	chromEnd	name	gieStain
chr4	0		49042			gneg
chr4	1063365		1348131				gneg
chrM	0		19524					gneg
chrX	0		103614						gneg
chrX	21675680	22371346						gneg
chrX	23013760	23542271							gneg
chrY	0		3667352									gneg
chr2L	0		22221										gneg
chr2L	22677528	23513712										gneg
chr2R	0		4460914												gneg
chr2R	25101785	25286936											      gneg
chr3L	0		52709												       gneg
chr3L	23856407	28110227											       	     gneg
chr3R	0		4174819													      gneg
chr3R	32033274	32079331												      	    gneg
chrUn_CP007071v1	0														    19956  gneg
chrUn_CP007072v1	0														    44411   gneg
chrUn_CP007073v1	0														    13157    gneg
chrUn_CP007074v1	0														    76224     gneg
chrUn_CP007075v1	0														    11983      gneg
chrUn_CP007076v1	0														    87365       gneg
chrUn_CP007077v1	0														    36913	 gneg
chrUn_CP007078v1	0														    22604	  gneg
chrUn_CP007079v1	0														    23238	   gneg
chrUn_CP007080v1	0														    86267	    gneg
chrUn_CP007081v1	0														    88768	     gneg
chrUn_CP007082v1	0														    36482	      gneg
chrUn_CP007083v1	0														    25537	       gneg
chrUn_CP007084v1	0														    62570	        gneg
chrUn_CP007085v1	0														    45120		 gneg
chrUn_CP007086v1	0														    22882		  gneg
chrUn_CP007087v1	0														    46986		   gneg
chrUn_CP007088v1	0														    37106		    gneg
chrUn_CP007089v1	0														    16157		     gneg
chrUn_CP007090v1	0														    57785		      gneg
chrUn_CP007091v1	0														    20763		       gneg
chrUn_CP007092v1	0														    28305		        gneg
chrUn_CP007093v1	0														    25698			 gneg
chrUn_CP007094v1	0														    29583			  gneg
chrUn_CP007095v1	0														    25560			   gneg
chrUn_CP007096v1	0														    26115			    gneg
chrUn_CP007097v1	0														    13455			     gneg
chrUn_CP007098v1	0														    43383			      gneg
chrUn_CP007099v1	0														    12632			       gneg
chrUn_CP007100v1	0														    10091			        gneg
chrUn_CP007101v1	0														    24503				 gneg
chrUn_CP007102v1	0														    12714				  gneg
chrUn_CP007105v1	0														    47411				   gneg
chrUn_CP007120v1	0														    76973				    gneg
chrUn_DS483562v1	0														    50625				     gneg
chrUn_DS483629v1	0														    15417				      gneg
chrUn_DS483641v1	0														    14503				       gneg
chrUn_DS483646v1	0														    14098				        gneg
chrUn_DS483647v1	0														    14028					 gneg
chrUn_DS483649v1	0														    13935					  gneg
chrUn_DS483650v1	0														    13906					   gneg
chrUn_DS483658v1	0														    13455					    gneg
chrUn_DS483659v1	0														    13416					     gneg
chrUn_DS483662v1	0														    13317					      gneg
chrUn_DS483663v1	0														    13256					       gneg
chrUn_DS483670v1	0														    12827					        gneg
chrUn_DS483673v1	0														    12654						 gneg
chrUn_DS483674v1	0														    12632						  gneg
chrUn_DS483675v1	0														    12536						   gneg
chrUn_DS483678v1	0														    12424						    gneg
chrUn_DS483679v1	0														    12424						     gneg
chrUn_DS483680v1	0														    12399						      gneg
chrUn_DS483681v1	0														    12368						       gneg
chrUn_DS483682v1	0														    12354						        gneg
chrUn_DS483686v1	0														    12148							 gneg
chrUn_DS483687v1	0														    12142							  gneg
chrUn_DS483688v1	0														    12095							   gneg
chrUn_DS483689v1	0														    12034							    gneg
chrUn_DS483692v1	0														    11985							     gneg
chrUn_DS483693v1	0														    11958							      gneg
chrUn_DS483694v1	0														    11951							       gneg
chrUn_DS483695v1	0														    11743							        gneg
chrUn_DS483700v1	0														    11430								 gneg
chrUn_DS483701v1	0														    11220								  gneg
chrUn_DS483702v1	0														    11148								   gneg
chrUn_DS483703v1	0														    11126								    gneg
chrUn_DS483705v1	0														    27456								     gneg
chrUn_DS483707v1	0														    25840								      gneg
chrUn_DS483709v1	0														    18299								       gneg
chrUn_DS483711v1	0														    14687								        gneg
chrUn_DS483712v1	0														    14199									 gneg
chrUn_DS483719v1	0														    12027									  gneg
chrUn_DS483723v1	0														    21074									   gneg
